Start Date,End Date,Event Name,Page Path,Event Count,Total Users,Pulled At
28daysAgo,yesterday,user_engagement,/services/woocommerce-integrations/,4,3,6/29/2026
28daysAgo,yesterday,user_engagement,/services/woocommerce-store-development/,4,3,6/29/2026
28daysAgo,yesterday,user_engagement,/viaje-captiva/,4,4,6/29/2026
28daysAgo,yesterday,first_visit,/case-studies/quest-technology/,3,3,6/29/2026
28daysAgo,yesterday,first_visit,/contact/,3,3,6/29/2026
28daysAgo,yesterday,first_visit,/project/wr-ultimate-price-list/,3,3,6/29/2026
28daysAgo,yesterday,first_visit,/services/custom-plugins-features/,3,3,6/29/2026
28daysAgo,yesterday,first_visit,/why-woocommerce-checkout-breaks-after-plugin-updates/,3,3,6/29/2026
28daysAgo,yesterday,first_visit,/woocommerce-wholesale-prices-without-separate-store/,3,3,6/29/2026
28daysAgo,yesterday,mobile_menu_open,/care-optimization-plans/,3,3,6/29/2026
28daysAgo,yesterday,nav_service_click,/services/ecommerce-automation/,3,2,6/29/2026
28daysAgo,yesterday,nav_service_click,/services/woocommerce-store-development/,3,2,6/29/2026
28daysAgo,yesterday,nav_service_click,/store-audit/,3,3,6/29/2026
28daysAgo,yesterday,page_view,/case-studies/replacing-a-failing-shipstation-for-a-hight-volumen-beauty-brand/,3,3,6/29/2026
28daysAgo,yesterday,page_view,/case-studies/woocommerce-price-list-manager-plugin/,3,2,6/29/2026
28daysAgo,yesterday,page_view,/insights/page/2/,3,2,6/29/2026
28daysAgo,yesterday,page_view,/project/wr-ultimate-price-list/,3,3,6/29/2026
28daysAgo,yesterday,page_view,/services/,3,3,6/29/2026
28daysAgo,yesterday,page_view,/why-woocommerce-checkout-breaks-after-plugin-updates/,3,3,6/29/2026
28daysAgo,yesterday,page_view,/woocommerce-wholesale-prices-without-separate-store/,3,3,6/29/2026
28daysAgo,yesterday,related_work_click,/store-audit/,3,2,6/29/2026
28daysAgo,yesterday,scroll,/about/,3,3,6/29/2026
28daysAgo,yesterday,session_start,/about/,3,3,6/29/2026
28daysAgo,yesterday,session_start,/case-studies/quest-technology/,3,3,6/29/2026
28daysAgo,yesterday,session_start,/project/wr-ultimate-price-list/,3,3,6/29/2026
28daysAgo,yesterday,session_start,/services/custom-plugins-features/,3,3,6/29/2026
28daysAgo,yesterday,session_start,/why-woocommerce-checkout-breaks-after-plugin-updates/,3,3,6/29/2026
28daysAgo,yesterday,session_start,/why-woocommerce-inventory-sync-breaks-between-multiple-sales-channels/,3,2,6/29/2026
28daysAgo,yesterday,session_start,/woocommerce-wholesale-prices-without-separate-store/,3,3,6/29/2026
28daysAgo,yesterday,user_engagement,/case-studies/woocommerce-payment-diagnostics/,3,3,6/29/2026
28daysAgo,yesterday,user_engagement,/casinova-deres-totale-guide-til-landets-svrt-spennende/,3,2,6/29/2026
28daysAgo,yesterday,user_engagement,/how-to-know-if-your-woocommerce-store-needs-a-rebuild-or-just-optimization/,3,2,6/29/2026
28daysAgo,yesterday,user_engagement,/project/wr-ultimate-price-list/,3,3,6/29/2026
28daysAgo,yesterday,click,/case-studies/quest-technology/,2,1,6/29/2026
28daysAgo,yesterday,contact_cta_click,/services/performance-checkout-rescue/,2,1,6/29/2026
28daysAgo,yesterday,cs_view_live_site,/case-studies/quest-technology/,2,1,6/29/2026
28daysAgo,yesterday,first_visit,/about/,2,2,6/29/2026
28daysAgo,yesterday,first_visit,/case-studies/,2,2,6/29/2026
28daysAgo,yesterday,first_visit,/case-studies/our-tiny-garden/,2,2,6/29/2026
28daysAgo,yesterday,first_visit,/case-studies/woocommerce-payment-diagnostics/,2,2,6/29/2026
28daysAgo,yesterday,first_visit,/store-audit/,2,2,6/29/2026
28daysAgo,yesterday,first_visit,/why-woocommerce-inventory-sync-problems-happen-between-systems/,2,2,6/29/2026
28daysAgo,yesterday,form_start,/contact/,2,2,6/29/2026
28daysAgo,yesterday,lead_form_start,/contact/,2,2,6/29/2026
28daysAgo,yesterday,mobile_menu_open,/contact/,2,2,6/29/2026
28daysAgo,yesterday,mobile_menu_open,/store-audit/,2,2,6/29/2026
28daysAgo,yesterday,nav_service_click,/case-studies/,2,2,6/29/2026
